;Unnamed: 0;school;school_setting;school_type;classroom;teaching_method;n_student;gender;lunch;posttest;target
0;0;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;72.0;1.0
1;1;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;79.0;0.0
2;2;ANKYI;Urban;Non-public;6OL;Standard;;Male;Does not qualify;76.0;1.0
3;3;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;77.0;1.0
4;4;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;76.0;0.0
5;5;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;74.0;1.0
6;6;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;75.0;0.0
7;7;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;72.0;0.0
8;8;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;77.0;1.0
9;9;ANKYI;Urban;Non-public;6OL;Standard;;Male;Does not qualify;72.0;0.0
10;10;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;73.0;1.0
11;11;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;74.0;1.0
12;12;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;78.0;1.0
13;13;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;71.0;1.0
14;14;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;77.0;0.0
15;15;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;73.0;0.0
16;16;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;70.0;0.0
17;17;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;73.0;0.0
18;18;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;71.0;0.0
19;19;ANKYI;Urban;Non-public;6OL;Standard;20.0;Male;Does not qualify;73.0;1.0
20;20;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;68.0;1.0
21;21;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;70.0;1.0
22;22;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;66.0;1.0
23;23;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;70.0;0.0
24;24;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Qualifies for reduced/free lunch;65.0;0.0
25;25;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;67.0;1.0
26;26;ANKYI;Urban;Non-public;ZNS;Standard;;Male;Does not qualify;70.0;1.0
27;27;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;67.0;1.0
28;28;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;63.0;0.0
29;29;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;75.0;0.0
30;30;ANKYI;Urban;Non-public;ZNS;Standard;;Male;Does not qualify;66.0;1.0
31;31;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;71.0;0.0
32;32;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;76.0;1.0
33;33;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;69.0;1.0
34;34;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;69.0;1.0
35;35;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;68.0;0.0
36;36;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;71.0;0.0
37;37;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;66.0;0.0
38;38;ANKYI;Urban;Non-public;ZNS;Standard;21.0;Male;Does not qualify;69.0;0.0
